Implementing Agency,Sector/Cluster,Activity Category,Org Type,District,Sub Dstrict,Village,Place Name,Activity,Materials/Service Provided,Primary Beneficiary,# of Primary Beneficiaries,Status,Start Date,End Date
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Palu,Ulujadi,Tipo,Terminal Tipo,Distribution food packs # 220 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43378,43378
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Palu,Palu Timur,Tinombala,Jl Gunung Tinombala RT 003/RW006,Distribution food packs # 60 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43379,43379
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Sigi,Tanambulava,Sibalaya Selatan,Jl. Popros Palu-Kulawi Km. 29 Rt.02 Rw. 03,Distribution food packs # 200 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43383,43383
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Sigi,Dolo,Langaleso,Jl. Usaha Tani 1 Dusun 3 Vow,Distribution food packs # 150 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43384,43384
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Palu,Mantikulore,Tondo,Lapangan Kelinci,Distribution food packs # 120 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43384,43384
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Sigi,Sigi Biromaru,Jono Oge,Lahan Puskut,Distribution food packs # 295 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43385,43385
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Sigi,tanambulava,Sibalaya Barat,Jl. Siduru Dusun I (Binobo),Distribution food packs # 155 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43386,43386
AL KHAIR FOUNDATION (AKF) INDONESIA,Food Security,,National NGOs,Donggala,Sirenja,Tanjung Padang,Jl. Akherat Dusun 1 RT01 RW01,Distribution food packs # 155 (Rice 25 kg  Noodles 1 box  Mineral water 1 box),,General Population,,Completed,43387,43387
CRS,Shelter,,International NGOs,Palu,Palu Timur,Lolu Utara,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Palu,Palu Timur,Lolu Selatan,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Palu,Palu Timur,Talise,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Palu,Palu Timur,Petobo,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Palu,Palu Timur,Belaroa,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Palu,Palu Timur,Loliu,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Palu,Palu Timur,Tondo,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Sigi,Sigi Biromaru,Sidera,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Sigi,Sigi Biromaru,Jono Oge,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS,Shelter,,International NGOs,Donggala,Tanantovea,Wani,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - MDMC,Shelter,,International NGOs,Donggala,Banaamru,Lombo Dolo,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - MDMC,Shelter,,International NGOs,Donggala,Tanantovea,Wani 2,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - MDMC,Shelter,,International NGOs,Donggala,Sindue,Masaengi,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - MDMC,Shelter,,International NGOs,Sigi,Dolo Barat,Bobo,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
CRS - MDMC,Shelter,,International NGOs,Sigi,Sigi Biromaru,Sidera,,shelter kits distribution,,Keluarga,,ongoing,Oct-11-2018,Oct-26-2018
